Parts;Device;Value;Qty
LED1, LED2;LED3MM;;2
JP1, JP3;Male 1x3 header;;2
JP2, JP4;Female 1x6 header;;2
R9, R10, R12, R21;R;100k;4
R1, R15, R39;R;10k;3
R2, R11;R;15k;2
R8, R14;R;1k;2
R13, R19, R22;R;2.2k;3
R34, R37, R38;R;220;3
R23;R;33k;1
R35, R36;R;470;2
R6, R7, R18, R20;R;47k;4
R17;R;56k;1
R16;R;68k;1
C3, C5, C6, C7, C8, C9, C13, C14, C16, C17, C18, C23, C24, C25;Ceramic ;100n;14
C10;Ceramic ;100p;1
C11, C20, C28;Electrolytic, >= 15V, height <= 7mm;100u;3
C26, C27;Ceramic ;20p;2
C2, C12;Ceramic ;33n;2
C1, C4;Electrolytic NP, >35V ;4.7u;2
Q5;Quartz;20MHz;1
Q3, Q4;2N3904 NPN;;2
Q1, Q2;2N3906 PNP;;2
IC2;4052N;;1
IC7;ATMega328p;;1
IC11;LM13700N;;1
IC9, IC10;LM4250P;;2
IC6;MCP4822;;1
IC5;TL072P;;1
IC1;TL084P;;1
;DIP8 Socket;;4
;DIP28 Socket;;1
;DIP14 Socket;;1
;DIP16 Socket;;2
;Jumper;;2
